unknown_voltage_0 -> 0
unknown_voltage_1 -> 1
unknown_voltage_2 -> 2
unknown_current_vin -> 3
0.600000 4.754700 2.377350
0.601000 4.749816 2.374908
0.602000 4.744885 2.372442
0.603000 4.739907 2.369953
0.604000 4.734882 2.367441
0.605000 4.729811 2.364905
0.606000 4.724693 2.362346
0.607000 4.719528 2.359764
0.608000 4.714316 2.357158
0.609000 4.709059 2.354529
0.610000 4.703754 2.351877
0.611000 4.698403 2.349202
0.612000 4.693006 2.346503
0.613000 4.687563 2.343781
0.614000 4.682073 2.341036
0.615000 4.676537 2.338268
0.616000 4.670954 2.335477
0.617000 4.665326 2.332663
0.618000 4.659652 2.329826
0.619000 4.653931 2.326966
0.620000 4.648165 2.324082
0.621000 4.642353 2.321176
0.622000 4.636495 2.318247
0.623000 4.630591 2.315295
0.624000 4.624641 2.312321
0.625000 4.618646 2.309323
0.626000 4.612605 2.306302
0.627000 4.606518 2.303259
0.628000 4.600387 2.300193
0.629000 4.594209 2.297105
0.630000 4.587987 2.293993
0.631000 4.581719 2.290859
0.632000 4.575405 2.287703
0.633000 4.569047 2.284523
0.634000 4.562643 2.281322
0.635000 4.556195 2.278097
0.636000 4.549701 2.274851
0.637000 4.543163 2.271581
0.638000 4.536580 2.268290
0.639000 4.529951 2.264976
0.640000 4.523279 2.261639
0.641000 4.516561 2.258281
0.642000 4.509799 2.254900
0.643000 4.502992 2.251496
0.644000 4.496141 2.248071
0.645000 4.489246 2.244623
0.646000 4.482306 2.241153
0.647000 4.475322 2.237661
0.648000 4.468294 2.234147
0.649000 4.461221 2.230611
0.650000 4.454105 2.227052
0.651000 4.446945 2.223472
0.652000 4.439740 2.219870
0.653000 4.432492 2.216246
0.654000 4.425200 2.212600
0.655000 4.417865 2.208932
0.656000 4.410485 2.205243
0.657000 4.403063 2.201531
0.658000 4.395597 2.197798
0.659000 4.388087 2.194043
0.660000 4.380534 2.190267
0.661000 4.372938 2.186469
0.662000 4.365298 2.182649
0.663000 4.357616 2.178808
0.664000 4.349890 2.174945
0.665000 4.342122 2.171061
0.666000 4.334311 2.167155
0.667000 4.326456 2.163228
0.668000 4.318560 2.159280
0.669000 4.310620 2.155310
0.670000 4.302638 2.151319
0.671000 4.294614 2.147307
0.672000 4.286547 2.143273
0.673000 4.278437 2.139219
0.674000 4.270286 2.135143
0.675000 4.262092 2.131046
0.676000 4.253856 2.126928
0.677000 4.245579 2.122789
0.678000 4.237259 2.118630
0.679000 4.228898 2.114449
0.680000 4.220494 2.110247
0.681000 4.212049 2.106025
0.682000 4.203563 2.101781
0.683000 4.195035 2.097517
0.684000 4.186465 2.093233
0.685000 4.177855 2.088927
0.686000 4.169203 2.084601
0.687000 4.160509 2.080255
0.688000 4.151775 2.075888
0.689000 4.143000 2.071500
0.690000 4.134184 2.067092
0.691000 4.125327 2.062663
0.692000 4.116429 2.058215
0.693000 4.107491 2.053745
0.694000 4.098512 2.049256
0.695000 4.089492 2.044746
0.696000 4.080433 2.040216
0.697000 4.071333 2.035666
0.698000 4.062192 2.031096
0.699000 4.053012 2.026506
0.700000 4.043792 2.021896
0.701000 4.034531 2.017266
0.702000 4.025231 2.012616
0.703000 4.015891 2.007946
0.704000 4.006512 2.003256
0.705000 3.997093 1.998546
0.706000 3.987634 1.993817
0.707000 3.978136 1.989068
0.708000 3.968599 1.984300
0.709000 3.959023 1.979511
0.710000 3.949407 1.974704
0.711000 3.939753 1.969876
0.712000 3.930059 1.965030
0.713000 3.920327 1.960164
0.714000 3.910556 1.955278
0.715000 3.900747 1.950373
0.716000 3.890899 1.945449
0.717000 3.881012 1.940506
0.718000 3.871088 1.935544
0.719000 3.861125 1.930562
0.720000 3.851124 1.925562
0.721000 3.841085 1.920542
0.722000 3.831008 1.915504
0.723000 3.820893 1.910446
0.724000 3.810740 1.905370
0.725000 3.800550 1.900275
0.726000 3.790322 1.895161
0.727000 3.780057 1.890029
0.728000 3.769755 1.884877
0.729000 3.759415 1.879707
0.730000 3.749038 1.874519
0.731000 3.738624 1.869312
0.732000 3.728173 1.864087
0.733000 3.717686 1.858843
0.734000 3.707162 1.853581
0.735000 3.696601 1.848300
0.736000 3.686003 1.843002
0.737000 3.675370 1.837685
0.738000 3.664700 1.832350
0.739000 3.653993 1.826997
0.740000 3.643251 1.821626
0.741000 3.632473 1.816236
0.742000 3.621659 1.810829
0.743000 3.610809 1.805404
0.744000 3.599923 1.799962
0.745000 3.589002 1.794501
0.746000 3.578045 1.789023
0.747000 3.567054 1.783527
0.748000 3.556026 1.778013
0.749000 3.544964 1.772482
0.750000 3.533867 1.766934
0.751000 3.522735 1.761368
0.752000 3.511568 1.755784
0.753000 3.500367 1.750183
0.754000 3.489130 1.744565
0.755000 3.477860 1.738930
0.756000 3.466555 1.733278
0.757000 3.455216 1.727608
0.758000 3.443843 1.721921
0.759000 3.432435 1.716218
0.760000 3.420994 1.710497
0.761000 3.409519 1.704760
0.762000 3.398011 1.699005
0.763000 3.386469 1.693234
0.764000 3.374893 1.687447
0.765000 3.363284 1.681642
0.766000 3.351642 1.675821
0.767000 3.339967 1.669983
0.768000 3.328259 1.664129
0.769000 3.316518 1.658259
0.770000 3.304744 1.652372
0.771000 3.292938 1.646469
0.772000 3.281099 1.640549
0.773000 3.269227 1.634614
0.774000 3.257324 1.628662
0.775000 3.245388 1.622694
0.776000 3.233420 1.616710
0.777000 3.221421 1.610710
0.778000 3.209389 1.604695
0.779000 3.197326 1.598663
0.780000 3.185231 1.592616
0.781000 3.173105 1.586552
0.782000 3.160947 1.580474
0.783000 3.148759 1.574379
0.784000 3.136539 1.568269
0.785000 3.124288 1.562144
0.786000 3.112006 1.556003
0.787000 3.099694 1.549847
0.788000 3.087351 1.543675
0.789000 3.074977 1.537489
0.790000 3.062573 1.531287
0.791000 3.050139 1.525070
0.792000 3.037675 1.518838
0.793000 3.025181 1.512590
0.794000 3.012657 1.506328
0.795000 3.000103 1.500052
0.796000 2.987520 1.493760
0.797000 2.974907 1.487453
0.798000 2.962264 1.481132
0.799000 2.949593 1.474796
0.800000 2.936892 1.468446
0.801000 2.924163 1.462081
0.802000 2.911404 1.455702
0.803000 2.898617 1.449308
0.804000 2.885801 1.442900
0.805000 2.872956 1.436478
0.806000 2.860084 1.430042
0.807000 2.847183 1.423591
0.808000 2.834254 1.417127
0.809000 2.821296 1.410648
0.810000 2.808311 1.404156
0.811000 2.795299 1.397649
0.812000 2.782258 1.391129
0.813000 2.769191 1.384595
0.814000 2.756096 1.378048
0.815000 2.742973 1.371487
0.816000 2.729824 1.364912
0.817000 2.716648 1.358324
0.818000 2.703444 1.351722
0.819000 2.690215 1.345107
0.820000 2.676958 1.338479
0.821000 2.663675 1.331838
0.822000 2.650366 1.325183
0.823000 2.637031 1.318515
0.824000 2.623669 1.311835
0.825000 2.610282 1.305141
0.826000 2.596869 1.298435
0.827000 2.583430 1.291715
0.828000 2.569966 1.284983
0.829000 2.556477 1.278238
0.830000 2.542962 1.271481
0.831000 2.529422 1.264711
0.832000 2.515857 1.257929
0.833000 2.502267 1.251134
0.834000 2.488653 1.244326
0.835000 2.475014 1.237507
0.836000 2.461350 1.230675
0.837000 2.447663 1.223831
0.838000 2.433951 1.216975
0.839000 2.420215 1.210107
0.840000 2.406455 1.203228
0.841000 2.392671 1.196336
0.842000 2.378864 1.189432
0.843000 2.365034 1.182517
0.844000 2.351179 1.175590
0.845000 2.337302 1.168651
0.846000 2.323402 1.161701
0.847000 2.309479 1.154739
